year,state,state_po,state_fips,state_ev_total,ev_dem,ev_rep
1968,New Jersey,NJ,34,17,,17
1968,New Mexico,NM,35,4,,4
1968,New York,NY,36,43,43,
1968,North Carolina,NC,37,13,,12
1968,North Dakota,ND,38,4,,4
1968,Ohio,OH,39,26,,26
1968,Oklahoma,OK,40,8,,8
1968,Oregon,OR,41,6,,6
1968,Pennsylvania,PA,42,29,29,
1968,Rhode Island,RI,44,4,4,
1968,South Carolina,SC,45,8,,8
1968,South Dakota,SD,46,4,,4
1968,Tennessee,TN,47,11,,11
1968,Texas,TX,48,25,25,
1968,Utah,UT,49,4,,4
1968,Vermont,VT,50,3,,3
1968,Virginia,VA,51,12,,12
1968,Washington,WA,53,9,9,
1968,West Virginia,WV,54,7,7,
1968,Wisconsin,WI,55,12,,12
1968,Wyoming,WY,56,3,,3
1968,Total,,,538,191,301
